randomness,timestamp,tweet,label
16501,30-10-2019 21:00,b'RT @KKMPutrajaya: Your mental health is a priority. Your happiness is an essential. Your self-care is a necessity.\n\n#LetsTalk \n#MentalHealt\xe2\x80\xa6',0
18909,01-11-2019 09:17,b'RT @PPolls2018: #Happy #1stNovember \n#Poll Are you happy to still be in the #EuropeanUnion ?\n#FridayThoughts \n#FridayFeeling \n#FridayFun \n#',1
476,30-10-2019 00:19,"b""\xf0\x9f\xa6\x8b\n\nIf you've been looking for a sign to keep going with your life and not give up . . . . .\xe2\x80\xa6 https://t.co/EHProNBp9F""",0
23335,31-10-2019 07:04,b'We love a good candy cane \n#candy #cane #candycane #halloween2019 #suck #swallow and #enjoy https://t.co/vq0Mc7mBF0',1
20133,01-11-2019 08:47,b'RT @RuwiSha22: Made a scrap book photo album for @TharshanShant Anna he was so happy with it. \nThanks for sending the photos Anna. \n\n#Thars',1
108,31-10-2019 23:59,b' its globulin deficient. The Stones of Blood - season 16 - 1978 #happy halloween! https://t.co/vlNwDVkrkF',1
13211,31-10-2019 15:03,b'RT @ChrisBrooksMin: AMEN !!!\n\n#happy #praise #difficult #seek #quite #worship #trust #thankful #revival #revivallifestyle #amen #quotes #p',1
18416,31-10-2019 04:22,"b'RT @nickystevo: Here is another one I prepared earlier, it is called \xe2\x80\x9cMoody Nights\xe2\x80\x9d #CarriageOfMentalHealth #MentalHealth #mindfulness #Men\xe2\x80\xa6'",0
16788,30-10-2019 15:57,b'RT @kskgroup2017: Staring tomorrow I will join @MijnVitesse training. Thank you @MijnVitesse. \n\nI feel the same as I did 12 years ago when',1
10461,29-10-2019 06:09,"b'Monday Evening, just thinking about coming full circle. ""A woman is the full circle. Within her is the power to cre https://t.co/n0m6Ed3qCP'",1
3353,29-10-2019 12:28,b'#CreatorsUnite is Available to read on @issuu  https://t.co/sOnuKLmbfy \nPrint Copies on @peecho \nThe Flesh &amp; Blood https://t.co/oY1HQZ8agv',1
316,01-11-2019 10:27,"b""#sky SOLD OUT Women's Backless Beach Dress.\n\n #campinggear #hiking #hikingtrails #hikinggear #fun #havefun https://t.co/JFMewqtvOQ""",1
6562,31-10-2019 07:58,b'Day 4 \xe2\x80\x94 \xe2\x80\x9cA little encouragement means a lot.\xe2\x80\x9d\n\nAaron Sorrels - The Unemployed Alcoholic\n\n#EnjoyYourJourney\xe2\x80\xa6 https://t.co/ghDOvSoZL1',0
2178,31-10-2019 11:32,"b""RT @MacmillanELT: As education changes, we're working with the best authors and developing new resources to enhance the teaching and learni\xe2\x80\xa6""",0
17744,31-10-2019 17:51,b'RT @MerynRuppert: Happy Halloween Everyone #costumes #Fun #scarymovies #trickortreat #FrightNight #candy  #halloween2019 #HalloweenParty',1
78,01-11-2019 04:03,b' Halloween Freestyle  @jabbawockeez song #focus \n\n#female #dancer #jabbawockeez #happy #halloween #freetslye https://t.co/j4L38voiJg',1
7812,31-10-2019 18:01,b'Happy Halloween  \n\n\n\n\n\n\n\n#happyhalloween #princessanna #queenelsa #halloween #princess #beautiful #babies https://t.co/U7PenY3a7T',1
8370,01-11-2019 01:30,b'Happy Halloween!!  #halloween2019 #HappyHalloween #fun #TodayIsHalloween #thursdayvibes https://t.co/8E7wjuZGWd',1
5345,31-10-2019 12:11,b'\xf0\x9f\x8e\x89 \xf0\x9d\x97\xa6\xf0\x9d\x98\x81\xf0\x9d\x97\xbf\xf0\x9d\x97\xb2\xf0\x9d\x98\x80\xf0\x9d\x98\x80\xf0\x9d\x97\x99\xf0\x9d\x97\xbf\xf0\x9d\x97\xb2\xf0\x9d\x97\xb2.\xf0\x9d\x97\xa3\xf0\x9d\x97\xbf\xf0\x9d\x97\xbc GIVEAWAY \xf0\x9f\x98\x87 #anxiety #stress #depression https://t.co/5WXztpSIf9',0
5229,31-10-2019 19:28,"b'@yourepithet @GinaGarred It is very #Bad Idea that people have no idea from other side of the world,for own victory https://t.co/Rq1mKMjtya'",1
8013,01-11-2019 00:16,b'Happy Halloween everyone!\n.\n.\n.\n#Twitch|#Stream|#SupportSmallStreamers|#Playing|#TwitchStreamer|#fun|#PC|#gamers https://t.co/suGkgCHYmd',1
21587,31-10-2019 15:20,"b'RT @willrowactor: Please consider supporting this project, a film dealing with Teenage Mental Health awareness \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n#MentalHealthAwareness ht\xe2\x80\xa6'",0
15720,23-10-2019 16:59,b'RT @janehmul: Kate Davies from the @NHSuk is the first speaker on the Five Nations panel at @LEPH2019. On the importance &amp; value of learnin\xe2\x80\xa6',0
20845,30-10-2019 22:26,b'RT @TalkingAboutBPD: People often ask how they can help their loved ones with #BPD. \n\nMy main advice is to use validation &gt;\n\nhttps://t.co/r\xe2\x80\xa6',0
10215,29-10-2019 23:30,b'Looking forward to hearing @PatMcGorry speak in #Bendigo next month as part of the initiative I work in.\xe2\x80\xa6 https://t.co/fiUHuN1XMP',0
2968,01-11-2019 04:12,"b""This little devil was scared of all the 'animatronics'. Lol. So cute!  orueda19\n.\n.\n.\n.\n.\n.\n.\n#halloween #kids #fun https://t.co/8bGcm1T1RU""",1
11849,28-10-2019 17:32,b'RT @alhajitekno: #SKELETUN the video! Link on me bio #enjoy https://t.co/0zfURa7wXX',1
23228,31-10-2019 10:45,b'We ALL can make a difference. #mentalhealthawareness. https://t.co/tFlCP64yrM',0
5938,30-10-2019 06:03,"b'As always, Techigent celebrated #Dipavali2019 in their glorious manner \n\n#DiwaliCelebrations #diwaligift #FunAtWork https://t.co/FfWfJgWOFa'",1
4333,30-10-2019 17:07,b'#ShareYourStory There is something so freeing about being authentic and open about what you\xe2\x80\x99re going through or hav\xe2\x80\xa6 https://t.co/i2fXcw4nxy',0
21762,01-11-2019 08:19,b'RT if you enjoyed Columns! https://t.co/5nnuizZKZy #fun #games #gamer #sega #genesis https://t.co/P5pEKKWyJS',1
17980,01-11-2019 10:22,"b'RT @mjgranger1: The PERFECT pretzel: warm, SOFT, buttery, sea salty, with garlic mustard and bacon-cheese dipping sauces! You will become A'",1
21023,01-11-2019 02:28,b'RT @thejohnmeredith:  Halloween  Sunset     #bayarea #eastbay #film #california #movies #disney #sales #love #fun #art #create #restaur',1
10164,01-11-2019 00:36,b'Little Monster Mash (Playlist and a Few Photos) by Richard F. Yates  Steemit https://t.co/XKLWQ9Ndaf #music https://t.co/nG1i9OG3Ln',1
1955,31-10-2019 15:26,"b""RT @g_rocharios: I'm in a really dark #depression place that I hoped I'd never go back to, but here I am. In the midst of a busy #PhD semes\xe2\x80\xa6""",0
9780,31-10-2019 21:26,b'It was our absolute pleasure! #enjoy https://t.co/1hMr5NHNbN',1
13267,31-10-2019 23:39,b'RT @chriscornell: #tbt Chris trick-or-treating with Cball and Toni \n#Happy Halloween! \n #chriscornell forever https://t.co/9ZSgToVaGm',1
9073,31-10-2019 02:17,"b'https://t.co/irGaBcakcY\nWhile narcissism may be viewed by many in society as a negative personality trait, it could\xe2\x80\xa6 https://t.co/SGuZBM29g9'",0
9460,01-11-2019 03:02,b'If this gets five likes Ill be really happy #fun #halloween #christmas',1
13064,30-10-2019 19:20,"b'RT @Car01am: RT @EichinChangLim\n\xe2\x80\x9cAn Incredible Book.\xe2\x80\x9d\n\xe2\x80\x9cWhat an enriching tale of heartache, connections, love, loss; such an emotional well\xe2\x80\xa6'",0
9680,30-10-2019 15:29,b'Is Alcoholism a Mental Disorder? #addiction #recovery #mentalillness https://t.co/GYabtGQMdh',0
6855,31-10-2019 19:12,b'Engage in the most epic battle with a variety of weapons and take on the enemy in Homefront https://t.co/Pwof28Aads https://t.co/bwGNsBgkgK',1
5131,30-10-2019 02:20,b'@Shane_Thornton6 @NetsDaily How about someone #MentalIllness is private matter that no #SportsJournalist who are no\xe2\x80\xa6 https://t.co/m78uK8lcLn',0
478,31-10-2019 04:03,"b""1 year ago today, I was locked in a cell-like ER room, waiting for my transfer to the VA psych unit. I'm now sittin\xe2\x80\xa6 https://t.co/w1e5iZNDhD""",0
17582,01-11-2019 08:02,"b'RT @MaqioToys: Xeno Koopies\n\n https://t.co/BDCpBVI15m\n\n With multiple touch sensors and over 70 sounds and phrases, Xeno Koopies offer ho'",1
16164,31-10-2019 15:07,b'RT @KKMPutrajaya: Your mental health is a priority. Your happiness is an essential. Your self-care is a necessity.\n\n#LetsTalk \n#MentalHealt\xe2\x80\xa6',0
16177,31-10-2019 14:43,b'RT @KKMPutrajaya: Your mental health is a priority. Your happiness is an essential. Your self-care is a necessity.\n\n#LetsTalk \n#MentalHealt\xe2\x80\xa6',0
12122,30-10-2019 20:39,b'RT @allevin18: Please Retweet - Inspirational stories of hope and perseverance https://t.co/XMyYSdyPzk  Real #men sharing their stories of\xe2\x80\xa6',0
16719,31-10-2019 02:07,b'RT @kskgroup2017: Staring tomorrow I will join @MijnVitesse training. Thank you @MijnVitesse. \n\nI feel the same as I did 12 years ago when',1
7698,31-10-2019 18:42,b'Happy #Halloween and #Happy #ImpeachmentInquiry Day @Nyssa!',1
23390,01-11-2019 07:39,b'Welcome November #november #newmonth Dans Picture-Diary- #reallifeblogger #realpicture #mylifemyway #singleboy #gay https://t.co/AXyM8Ypbre',1
12264,31-10-2019 17:43,"b'RT @AntalNetwork: Happy Halloween from all of us at Antal! Antal Spain celebrates Halloween with their annual cooking contest, we enjoy coo'",1
7695,31-10-2019 16:07,b'Happy #Halloween .\n\nHow are you spending this spooky day? \n\n#halloween2019 #halloweenvibes #happy #friends https://t.co/DjV8loC6XG',1
9660,31-10-2019 21:00,b'iPhone 2020 could go back to the metal frame         https://t.co/LFhXsz4bTX\n\n#BTS #ARMY #JIN #JUNGKOOK #RM #V https://t.co/RnmRr3Rzfp',1
11861,28-10-2019 16:12,b'RT @alhajitekno: #SKELETUN the video! Link on me bio #enjoy https://t.co/0zfURa7wXX',1
16052,30-10-2019 01:20,b'RT @kenbahn: Making people happy with more #Magichttps://t.co/ItrAHgwTrF #Ilusion #Synesthesia #CardTrick #MindBlow #Fun #Style #Photo #Lo',1
0,31-10-2019 19:23,b'                  .\n\n: @applewatch https://t.co/ZIy61FtWzN',1
9065,24-10-2019 03:00,"b'https://t.co/es1Dc71AQK &lt;-------- Join the new world, one full of life, prosperity, and most of all: happiness. Exp\xe2\x80\xa6 https://t.co/ypWoLQRE77'",0
11689,31-10-2019 20:03,b'RT @adamprobosz: fifty shades of eurosportpl cycling commentators \nthe season overview coming soon to the Eurosport PL YT channel',1
673,01-11-2019 03:04,"b'""Don\'t worry be happy"" \n #fun https://t.co/rx3WQ1wapq'",1
2175,31-10-2019 12:17,"b""RT @MacmillanELT: As education changes, we're working with the best authors and developing new resources to enhance the teaching and learni\xe2\x80\xa6""",0
686,31-10-2019 15:39,"b""Don't let it spook you \xf0\x9f\x91\xbb Registering to vote is easy and your ballot will help give #mentalhealth a voice in this e\xe2\x80\xa6 https://t.co/O25vYPOv10""",0
21840,28-10-2019 08:49,b'Say Hello to our Grilled Seafood at poolside. \n@ramadamanamacitycentre  \nFor all inquiries and reservations:\ncall https://t.co/Ku7UKIVK1c',1
7033,01-11-2019 01:16,b'FELIZ HALLOWEEN!!!\nHAPPY HALLOWEEN!!!...\n\n#felizhalloween #music #superviviente  #happy #music https://t.co/eW7Tq94SyG',1
4575,01-11-2019 09:02,"b'@Adamfpeek Congratulations to you both Adam, have a fabulous time. #memorable #enjoy'",1
8842,30-10-2019 08:03,b'Heres a song for you \n\n#NowPlaying #Enjoy #Rock #music #journey #moment #love #FeelSomething #FeelingFresh https://t.co/3ayURjiOpG',1
195,31-10-2019 12:51,"b""#cute #happy Boy's Casual Warm Hooded Jacket https://t.co/WuYVkNtOBk https://t.co/jYy8OWF2Vd""",1
2515,31-10-2019 05:56,"b""RT @SamTaweets: Well it's taken me an afternoon of scouring the interweb, but we managed to find this morning's stoush between Michael Felg""",1
8424,01-11-2019 04:15,b'Happy Halloween!!!\n#family #babysfirsthalloween #primerhalloween #bebeabordo #parenthood #paternidad #babyonboard https://t.co/j0kWBbiD6J',1
9654,31-10-2019 23:30,b'iPhone 2020 could go back to the metal frame         https://t.co/LFhXsz4bTX\n\n#BTS #ARMY #JIN #JUNGKOOK #RM #V https://t.co/521qom720f',1
817,31-10-2019 18:11,"b""Happy Halloween! \n\nHere's one of the great costumes from our office today -- Sami the Dog Walker :)\n\n#PathwaysNH https://t.co/WlM6KHoyyT""",1
3696,31-10-2019 18:57,b'#happy #halloween screamin__jay #addict https://t.co/aL4Jn0wtsF',1
23631,31-10-2019 16:15,b'When fiber to the home is so close to being live.......\n#fiber #gaming #streaming #happy #goodvibesonly https://t.co/mwdEP7V2Es',1
8120,31-10-2019 16:39,"b'Happy Halloween from Storm Works Designs\n#happy #halloween #stormworksdesigns @ San Antonio, Texas https://t.co/I89rLTB7aR'",1
10933,01-11-2019 09:52,"b'One happy boy on his birthday!!   his mum said he like Leeds united and fortnite/game console, #birthdayboy https://t.co/gluhHiVPei'",1
6085,31-10-2019 22:20,"b'Beeswax candles purify the air as they burn! Beeswax contains negative ions which are released as the wax burns, ne https://t.co/5OI08LcKiW'",1
227,31-10-2019 00:08,"b""#God created ALL His children on purpose in order to have a purpose. #God's GOOD will be UPON and WITHIN us ALL for\xe2\x80\xa6 https://t.co/HALS7K5tOa""",0
17372,31-10-2019 07:07,b'RT @lisa63artist: My opinion on mental disorders-\nReasons for diagnoses\n-to rcv tx/benefits/svcs\n-aids some to know why they exper behav/ha\xe2\x80\xa6',0
23637,31-10-2019 19:51,"b'When I was at my worst and it was at its worst, my systolic was over 200, my diastolic over 130.\n\nWhat a difference https://t.co/wKRAtbHxwz'",1
8304,31-10-2019 13:56,b'Happy Halloween! \nFrom @arapina_bakery crew!! Witching  you a fun day &amp; a spooky evening! Time to dust off y https://t.co/Y0yknO8nq3',1
5785,01-11-2019 04:30,b'Always time for work and play... with my peeps .... #halloween #work #miami #girls #fun @ Country Club Middle School https://t.co/iJ3Uvx8Uze',1
23279,01-11-2019 03:56,b'We enjoyed Minion Day!! @JBWatkinsES #minions #happy https://t.co/Ybz3tyRUj7',1
14099,31-10-2019 03:43,b'RT @Dra_TeraizaMesa: RT @PsychCentral: World Mental Health Day 2019: Letter to a Suicidal Person https://t.co/eBZWBFl2qK #Depression #Suici\xe2\x80\xa6',0
11621,31-10-2019 19:40,b'RT @AbbieSmart3: Gym today https://t.co/qfXoiXTWm8 #feelinggood #gymlife #gymmotivation #Disability #CerebralPalsy #motivation #strength #h',1
21520,31-10-2019 17:32,b'RT @WeirdsAnimals: A basketball game\n\n#birding #bird\n\n\n#Follow #IFB #Nature #Travel #Fun #Animals #AnimalKingdom #WednesdayMotivation \nht',1
10976,01-11-2019 09:58,b'Ooh! We know lots of the CA community that would be good for this one!\nGet emailing CA family.\n#casting #TVC https://t.co/pvpGuW6nIK',1
23587,01-11-2019 01:47,b'What is your favorite part of Halloween?\n\n#HappyHalloween #TrickOrTreat #Costumes #Pumpkin #Follow #Fun #TBT https://t.co/chjHA7aurB',1
14095,26-10-2019 17:16,b'RT @dr_metzner: Autism Spectrum Disorder - what you need to know https://t.co/0bx3eY7CYC #mentalhealth #mentalillness #autism #asd',0
10499,01-11-2019 03:43,b'Mr. &amp; Mrs. Kruger #happy \n#Halloween ',1
3771,31-10-2019 20:53,b'#happy #streetstyle #moda Multifunctional Sport Roller Wheel With Mat https://t.co/gQUk3CoXnW',1
12988,31-10-2019 13:33,b'RT @canbeconnected: Have you ever wished for #XRP and found some in your account the next day? Drop those addresses below Ill be sending 1',1
1317,31-10-2019 16:19,"b""Let's not forget, behind every screen, is a human being. And they have emotions like you and me. Be kind to each ot\xe2\x80\xa6 https://t.co/tGHQnDP4c8""",0
6028,01-11-2019 07:07,b'Be crazy. Be silly. Be you. Be #happy! #friday #positivity #life https://t.co/dZneklqmbP',1
10492,30-10-2019 21:38,"b'Most of my followers (my #friends you really are), have mentioned your mental health conditions on your profiles. I\xe2\x80\xa6 https://t.co/60OdRbrZYT'",0
2370,01-11-2019 04:03,"b""RT @pair_up_: This is how you make a class of kindergarteners smile. You're always welcome to stop by our school Sgt. Shevitz @NYPDTransit""",1
4211,01-11-2019 07:40,"b'#note to #self , have more #fun  about 60days to go. #bye to #yeye #boyfriend #zlatan  HappyNewMonth Fam  https://t.co/qJ9cndbpru'",1
19650,01-11-2019 08:36,b'RT @realpreityzinta: Happy Halloween everyone  Time to have some fun @BeingSalmanKhan #chulbulpandey #halloween #fun #madness #ting https:',1
12144,01-11-2019 07:41,"b'RT @Alphabe01104209: What an awesome trending music game! \nVery funny, exicting, and challenge!\nCheck it Out! Tiles Hop \n#TilesHop #Playi'",1
1708,01-11-2019 01:12,"b""RT @Chebrilla1: #AU where #fjord joins #Avantika and they're #bad together. #criticalrole #criticalrolefanart #CriticalRoleArt #CriticalRol""",1
10440,31-10-2019 19:20,"b'Michael Jackson\'s ""Thriller"" \nre-entering the charts every year\n-\n-\n-\n#lyricsandchill #thriller #michaeljackson https://t.co/LmhK4YjfVo'",1
788,31-10-2019 22:26,"b""Happy Halloween 2019 Everyone! Let's play some scary games! \nhttps://t.co/WqWu4pnxCb\n#halloween2019 #Halloween19 https://t.co/9XFbav4wwC""",1
22204,30-10-2019 20:14,b'Stop shaming us full stop. We have enough to deal with without your negative judgements and prejudice \xf0\x9f\x98\x90 #bpd\xe2\x80\xa6 https://t.co/YDEgpUyZ17',0
14673,31-10-2019 23:36,b'RT @enriqueiglesias: When the crew is having fun... #ThankYou #Slovakia!! #Happy #Halloween https://t.co/0dC23rOerP',1
3344,31-10-2019 10:01,b'#constellationoh #wishes you a #HappyHalloween. #enjoy your day!! #trickortreat https://t.co/HzZcJg8imU',1
5143,31-10-2019 17:38,b'@SJTurner_Author @HawkeLiath @CarolynRuffles @BillingReeves @ravaghi @alleycat579 @phandi @d_ast777 @Johnldeboer https://t.co/F6yqTLgvx8',1
7992,31-10-2019 19:01,b'Happy Halloween everyone! \n.\n.\n.\n.\n#novasilver #halloween #spooky #fun #scary #skull #boo #eeek #trickortreat https://t.co/qZWqUgsQza',1
2626,01-11-2019 02:23,"b""RT @SrgHousing: We are at SRG Housing Finance, Put your trust in us and we'll go the extra mile to guide you through the home loan process.""",1
9768,27-10-2019 14:02,b'It sounds to me like @realDonaldTrump has tortured and killed animals before. He uses similes and metaphors compari\xe2\x80\xa6 https://t.co/JyjHFwDRPU',0
17301,27-10-2019 20:33,b'RT @lgibson12397: the 5 things i was grateful for today\n\n1 a beautiful sun\xe2\x98\x80\xef\xb8\x8f\n2 a relaxing morning\xf0\x9f\x98\x8a\n3 a country drive\xf0\x9f\x9a\x98\n4 the seashore\xf0\x9f\x8c\x85\n5 tak\xe2\x80\xa6',0
4668,29-10-2019 03:44,b'@ChristineCaine My kind of people! If you had mentioned snickerdoodles I wouldve thought we were related! #Enjoy #MomOfTeenGirls',1
19195,28-10-2019 07:19,"b'RT @RashadaWrites: Good morning, friends! #enjoy #newweek #nature #videoclip #tulip #garden #flower #photography \n\nhttps://t.co/nCvYS'",1
19377,31-10-2019 22:25,"b'RT @RashadaWrites: Happy day, friends! #HappyHalloween #enjoy #autumn #beautiful #flowers #nature\n\nhttps://t.co/q1MqsKwRKa #Writing\n\nCel'",1
15291,01-11-2019 07:02,b'RT @GreenMonkeyOut: #wilderness Water Balloon/Snowball Launcher\n\n #campinggear #hiking #hikingtrails #hikinggear #fun #havefun #enjoylife #',1
7562,31-10-2019 23:40,b'Halloween 2019   \n#Halloween #Halloween2019 #TrickOrTreat #HalloweenCostume #DressUp #Pennywise #It https://t.co/fnhj4IdQKr',1
7238,28-10-2019 11:45,b'Genetics determine how you metabolize psychiatric drugs &amp; #vaccines-this is WHY some can be \xe2\x80\x9cOK\xe2\x80\x9d &amp; others are very\xe2\x80\xa6 https://t.co/32ZQFZhY3Z',0
3519,01-11-2019 05:30,b'#GalaxyNote9 #Samsung #Note9 #screenprotector \n&gt;&gt;https://t.co/twy41vMv6C&lt;&lt; \nHOT DEAL : Get 25% off on the best glas https://t.co/vhQ73ydLUX',1
1621,30-10-2019 16:15,"b""RT @BetterMeHealth1: How depression feels like! Even if you feel the same or not feel the same, remember always you're not alone in this fi\xe2\x80\xa6""",0
4771,31-10-2019 13:01,b'@Galck_ke @zandiiiiiiii @annbelky @JayTiche 1. Lack of Queer friendly professionals \n2. Too expensive and not affor\xe2\x80\xa6 https://t.co/JwRda64U7B',0
8097,31-10-2019 13:44,b'Happy Halloween from my favorite little pumpkin!! #happy #halloween #2019 #favorite #pumpkin #bennie https://t.co/vSnIWrJN4g',1
21676,31-10-2019 13:34,"b'RT @zandiiiiiiii: @Galck_ke @annbelky @JayTiche I would like to recommend Dr Kitazi, a psychiatrist at Aga Khan who is a safe space for que\xe2\x80\xa6'",0
21848,01-11-2019 02:49,"b'Says #happy #fun #positive ... just for that, Im betting shell win!  https://t.co/jH1v245hLk'",1
12813,29-10-2019 06:35,b'RT @Breaking_Taboo: #mentalillness is not a personal failure. #mondaythoughts #mentalheath',0
23829,01-11-2019 01:37,b'Wishing you all #happy #HaryanaDay https://t.co/PmN2GaDn9X',1
9188,31-10-2019 11:44,"b'I cook, wash dishes and do laundry. I make efforts to wake them up. I go to the store for them. I put myself throug\xe2\x80\xa6 https://t.co/utuw6ESvB2'",0
16155,31-10-2019 15:16,b'RT @KKMPutrajaya: Your mental health is a priority. Your happiness is an essential. Your self-care is a necessity.\n\n#LetsTalk \n#MentalHealt\xe2\x80\xa6',0
1816,31-10-2019 00:33,"b""RT @DulleyTopBooks: I need #God. I need #God's Spirit. I need the GOOD WILL of #God's heart to be UPON and WITHIN me forever and ever going\xe2\x80\xa6""",0
6381,28-10-2019 16:42,b'Christmas Tree Ideas 2019 https://t.co/mUsqrUJ5cn #Xmas #christmas #ChristmasIsComing #christmasdecor https://t.co/SLryzqkAs2',1
